ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 15:54
ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 15:54

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 15:56

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 15:56

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 15:56

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 15:56

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 15:56

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 15:58

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 15:59

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 16:35

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 16:35

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 16:36

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 16:47

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 16:52

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 16:53

ID: ID_777 | NOMBRE: JUAN PENEZ | EVALUACION: MANIPULACIÓN DE DATOS | NOTA: 95 | FECHA: 2026-04-18 16:54
ID: ID_777 | NOMBRE: JUAN PEREZ | EVALUACION: MANIPULACION DE DATOS | NOTA: 95 | FECHA: 2026-04-18 16:57
ID: ID_777 | NOMBRE: JUAN PEREZ | EVALUACION: MANIPULACION DE DATOS | NOTA: 95 | FECHA: 2026-04-18 16:58
